solver,benchmark,group,run,status,result,elapsed_sec,returncode,timed_out
smc,Scalability Boolean1/constraints_95000.smt2,Scalability Boolean1,1,ok,,5.529051039018668,0,False
z3,Scalability Boolean1/constraints_95000.smt2,Scalability Boolean1,1,ok,,9.88991554803215,0,False
smc,Scalability Boolean2/constraints_1000.smt2,Scalability Boolean2,1,ok,,11.19046748499386,0,False
z3,Scalability Boolean2/constraints_1000.smt2,Scalability Boolean2,1,ok,,41.92997410602402,0,False
smc,Scalability Boolean2/constraints_10000.smt2,Scalability Boolean2,1,ok,,6.223954985965975,0,False
z3,Scalability Boolean2/constraints_10000.smt2,Scalability Boolean2,1,timeout,,300.21013145498,,True
smc,Scalability Boolean2/constraints_100000.smt2,Scalability Boolean2,1,ok,,13.143796196032781,0,False
z3,Scalability Boolean2/constraints_100000.smt2,Scalability Boolean2,1,timeout,,300.14070439198986,,True
smc,Scalability Boolean2/constraints_105000.smt2,Scalability Boolean2,1,ok,,12.788291736040264,0,False
z3,Scalability Boolean2/constraints_105000.smt2,Scalability Boolean2,1,ok,,106.73538602603367,0,False
smc,Scalability Boolean2/constraints_110000.smt2,Scalability Boolean2,1,ok,,18.816707582969684,0,False
z3,Scalability Boolean2/constraints_110000.smt2,Scalability Boolean2,1,ok,,93.73819706594804,0,False
smc,Scalability Boolean2/constraints_115000.smt2,Scalability Boolean2,1,ok,,13.386752511025406,0,False
z3,Scalability Boolean2/constraints_115000.smt2,Scalability Boolean2,1,ok,,199.78091285098344,0,False
smc,Scalability Boolean2/constraints_120000.smt2,Scalability Boolean2,1,ok,,17.850517946993932,0,False
z3,Scalability Boolean2/constraints_120000.smt2,Scalability Boolean2,1,ok,,286.74192483199295,0,False
smc,Scalability Boolean2/constraints_125000.smt2,Scalability Boolean2,1,ok,,17.809533996041864,0,False
z3,Scalability Boolean2/constraints_125000.smt2,Scalability Boolean2,1,timeout,,300.28117511898745,,True
smc,Scalability Boolean2/constraints_130000.smt2,Scalability Boolean2,1,ok,,15.654462142032571,0,False
z3,Scalability Boolean2/constraints_130000.smt2,Scalability Boolean2,1,timeout,,300.2838575610076,,True
smc,Scalability Boolean2/constraints_15000.smt2,Scalability Boolean2,1,ok,,12.300871458020993,0,False
z3,Scalability Boolean2/constraints_15000.smt2,Scalability Boolean2,1,ok,,36.51555908296723,0,False
smc,Scalability Boolean2/constraints_20000.smt2,Scalability Boolean2,1,ok,,13.488677189976443,0,False
z3,Scalability Boolean2/constraints_20000.smt2,Scalability Boolean2,1,ok,,29.465564817015547,0,False
smc,Scalability Boolean2/constraints_25000.smt2,Scalability Boolean2,1,ok,,10.932960393955,0,False
z3,Scalability Boolean2/constraints_25000.smt2,Scalability Boolean2,1,ok,,31.390457812987734,0,False
smc,Scalability Boolean2/constraints_30000.smt2,Scalability Boolean2,1,ok,,9.782288314017933,0,False
z3,Scalability Boolean2/constraints_30000.smt2,Scalability Boolean2,1,ok,,34.36904567095917,0,False
smc,Scalability Boolean2/constraints_35000.smt2,Scalability Boolean2,1,ok,,16.092686215997674,0,False
z3,Scalability Boolean2/constraints_35000.smt2,Scalability Boolean2,1,ok,,43.15022302704165,0,False
smc,Scalability Boolean2/constraints_40000.smt2,Scalability Boolean2,1,ok,,13.75696786295157,0,False
z3,Scalability Boolean2/constraints_40000.smt2,Scalability Boolean2,1,ok,,56.98707961401669,0,False
smc,Scalability Boolean2/constraints_45000.smt2,Scalability Boolean2,1,ok,,16.809114773990586,0,False
z3,Scalability Boolean2/constraints_45000.smt2,Scalability Boolean2,1,ok,,51.47831815702375,0,False
smc,Scalability Boolean2/constraints_5000.smt2,Scalability Boolean2,1,ok,,13.654594594030641,0,False
z3,Scalability Boolean2/constraints_5000.smt2,Scalability Boolean2,1,ok,,43.083429761987645,0,False
smc,Scalability Boolean2/constraints_50000.smt2,Scalability Boolean2,1,ok,,18.01253703603288,0,False
z3,Scalability Boolean2/constraints_50000.smt2,Scalability Boolean2,1,ok,,59.42876688402612,0,False
smc,Scalability Boolean2/constraints_55000.smt2,Scalability Boolean2,1,ok,,16.314604981977027,0,False
z3,Scalability Boolean2/constraints_55000.smt2,Scalability Boolean2,1,ok,,48.540749032981694,0,False
smc,Scalability Boolean2/constraints_60000.smt2,Scalability Boolean2,1,ok,,17.36021047102986,0,False
z3,Scalability Boolean2/constraints_60000.smt2,Scalability Boolean2,1,ok,,46.854050964990165,0,False
smc,Scalability Boolean2/constraints_65000.smt2,Scalability Boolean2,1,ok,,18.06409480102593,0,False
z3,Scalability Boolean2/constraints_65000.smt2,Scalability Boolean2,1,ok,,94.184422662016,0,False
smc,Scalability Boolean2/constraints_70000.smt2,Scalability Boolean2,1,ok,,17.45769971603295,0,False
z3,Scalability Boolean2/constraints_70000.smt2,Scalability Boolean2,1,ok,,72.94332210702123,0,False
