solver,benchmark,group,run,status,result,elapsed_sec,returncode,timed_out
z3,Scalability Boolean1/z3_smtlib/15.smt2,Scalability Boolean1/z3_smtlib,1,ok,,0.5155160760000399,0,False
smc,Scalability Boolean1/z3_smtlib/16.smt2,Scalability Boolean1/z3_smtlib,1,ok,,1.4685206180001842,0,False
z3,Scalability Boolean1/z3_smtlib/16.smt2,Scalability Boolean1/z3_smtlib,1,ok,,0.615814612000122,0,False
smc,Scalability Boolean1/z3_smtlib/17.smt2,Scalability Boolean1/z3_smtlib,1,ok,,1.5695542100002058,0,False
z3,Scalability Boolean1/z3_smtlib/17.smt2,Scalability Boolean1/z3_smtlib,1,ok,,0.6660535410001103,0,False
smc,Scalability Boolean1/z3_smtlib/18.smt2,Scalability Boolean1/z3_smtlib,1,ok,,1.5698883009999918,0,False
z3,Scalability Boolean1/z3_smtlib/18.smt2,Scalability Boolean1/z3_smtlib,1,ok,,1.0673372530000051,0,False
smc,Scalability Boolean1/z3_smtlib/19.smt2,Scalability Boolean1/z3_smtlib,1,ok,,1.7710739260000992,0,False
z3,Scalability Boolean1/z3_smtlib/19.smt2,Scalability Boolean1/z3_smtlib,1,ok,,1.2694502389999798,0,False
smc,Scalability Boolean1/z3_smtlib/2.smt2,Scalability Boolean1/z3_smtlib,1,ok,,0.26569998000013584,0,False
z3,Scalability Boolean1/z3_smtlib/2.smt2,Scalability Boolean1/z3_smtlib,1,ok,,0.11491106399989803,0,False
smc,Scalability Boolean1/z3_smtlib/20.smt2,Scalability Boolean1/z3_smtlib,1,ok,,1.7704839029997856,0,False
z3,Scalability Boolean1/z3_smtlib/20.smt2,Scalability Boolean1/z3_smtlib,1,ok,,1.4691690889999336,0,False
smc,Scalability Boolean1/z3_smtlib/21.smt2,Scalability Boolean1/z3_smtlib,1,ok,,1.87057490899997,0,False
z3,Scalability Boolean1/z3_smtlib/21.smt2,Scalability Boolean1/z3_smtlib,1,ok,,2.472790396000164,0,False
smc,Scalability Boolean1/z3_smtlib/22.smt2,Scalability Boolean1/z3_smtlib,1,ok,,2.120039542000086,0,False
z3,Scalability Boolean1/z3_smtlib/22.smt2,Scalability Boolean1/z3_smtlib,1,ok,,3.625365439000234,0,False
smc,Scalability Boolean1/z3_smtlib/23.smt2,Scalability Boolean1/z3_smtlib,1,ok,,2.121150872999806,0,False
z3,Scalability Boolean1/z3_smtlib/23.smt2,Scalability Boolean1/z3_smtlib,1,ok,,4.628294598999673,0,False
smc,Scalability Boolean1/z3_smtlib/24.smt2,Scalability Boolean1/z3_smtlib,1,ok,,2.2702033479999955,0,False
z3,Scalability Boolean1/z3_smtlib/24.smt2,Scalability Boolean1/z3_smtlib,1,ok,,8.941219520999766,0,False
smc,Scalability Boolean1/z3_smtlib/25.smt2,Scalability Boolean1/z3_smtlib,1,ok,,2.521874273999856,0,False
z3,Scalability Boolean1/z3_smtlib/25.smt2,Scalability Boolean1/z3_smtlib,1,ok,,12.501111213000058,0,False
smc,Scalability Boolean1/z3_smtlib/26.smt2,Scalability Boolean1/z3_smtlib,1,ok,,2.472233962000246,0,False
z3,Scalability Boolean1/z3_smtlib/26.smt2,Scalability Boolean1/z3_smtlib,1,ok,,12.653351076000035,0,False
smc,Scalability Boolean1/z3_smtlib/27.smt2,Scalability Boolean1/z3_smtlib,1,ok,,2.469916917000319,0,False
z3,Scalability Boolean1/z3_smtlib/27.smt2,Scalability Boolean1/z3_smtlib,1,ok,,14.407467265999912,0,False
smc,Scalability Boolean1/z3_smtlib/3.smt2,Scalability Boolean1/z3_smtlib,1,ok,,0.36524869499999113,0,False
z3,Scalability Boolean1/z3_smtlib/3.smt2,Scalability Boolean1/z3_smtlib,1,ok,,0.11494317999995474,0,False
smc,Scalability Boolean1/z3_smtlib/4.smt2,Scalability Boolean1/z3_smtlib,1,ok,,0.4152283790003821,0,False
z3,Scalability Boolean1/z3_smtlib/4.smt2,Scalability Boolean1/z3_smtlib,1,ok,,0.1142585309999049,0,False
smc,Scalability Boolean1/z3_smtlib/5.smt2,Scalability Boolean1/z3_smtlib,1,ok,,0.5158128990001387,0,False
z3,Scalability Boolean1/z3_smtlib/5.smt2,Scalability Boolean1/z3_smtlib,1,ok,,0.16496634199984328,0,False
smc,Scalability Boolean1/z3_smtlib/6.smt2,Scalability Boolean1/z3_smtlib,1,ok,,0.5663353709996954,0,False
z3,Scalability Boolean1/z3_smtlib/6.smt2,Scalability Boolean1/z3_smtlib,1,ok,,0.21471237700006895,0,False
smc,Scalability Boolean1/z3_smtlib/7.smt2,Scalability Boolean1/z3_smtlib,1,ok,,0.66621167600033,0,False
z3,Scalability Boolean1/z3_smtlib/7.smt2,Scalability Boolean1/z3_smtlib,1,ok,,0.21504221099985443,0,False
smc,Scalability Boolean1/z3_smtlib/8.smt2,Scalability Boolean1/z3_smtlib,1,ok,,0.7665630009996676,0,False
z3,Scalability Boolean1/z3_smtlib/8.smt2,Scalability Boolean1/z3_smtlib,1,ok,,0.2660518399998182,0,False
smc,Scalability Boolean1/z3_smtlib/9.smt2,Scalability Boolean1/z3_smtlib,1,ok,,0.867325678999805,0,False
z3,Scalability Boolean1/z3_smtlib/9.smt2,Scalability Boolean1/z3_smtlib,1,ok,,0.2644001470002877,0,False
smc,Scalability Boolean2/z3_smtlib/1.smt2,Scalability Boolean2/z3_smtlib,1,ok,,3.2741553719997682,0,False
